                                                                      29 Aug 2023 20:15:39
Satellite-SPICESat


                           Definition                           
----------------------------------------------------------------
Temperature Model for SPICESat                                  
                                                                
Solar Flux at 1 AU         = 1361.166 W/m^2                     
Earth Albedo               = 0.340                              
                                                                
Shape                      = Plate                              
Cross sectional Area       = 1.000 m^2                          
Material Emissivity        = 0.924                              
Material Absorptivity      = 0.248                              
Plate Normal Vector        = Earth (based on Satellite/SPICESat)
                                                                
Internal Power Dissipation = 0.000 W                            


       Time (UTCG)          Temperature (K)    Solar Flux (dBW/m^2)    Solar Intensity (%)
------------------------    ---------------    --------------------    -------------------
29 Aug 2023 16:00:00.000            241.886               31.252796                 0.0000
29 Aug 2023 16:00:05.000            241.886               31.252795                 0.0000
29 Aug 2023 16:00:10.000            241.886               31.252795                 0.0000
29 Aug 2023 16:00:15.000            241.886               31.252795                 0.0000
29 Aug 2023 16:00:20.000            241.886               31.252795                 0.0000
29 Aug 2023 16:00:25.000            241.886               31.252795                 0.0000
29 Aug 2023 16:00:30.000            241.886               31.252795                 0.0000
29 Aug 2023 16:00:35.000            241.886               31.252794                 0.0000
29 Aug 2023 16:00:40.000            241.886               31.252794                 0.0000
29 Aug 2023 16:00:45.000            241.886               31.252794                 0.0000
29 Aug 2023 16:00:50.000            241.886               31.252794                 0.0000
29 Aug 2023 16:00:55.000            241.886               31.252794                 0.0000
29 Aug 2023 16:01:00.000            241.885               31.252794                 0.0000
29 Aug 2023 16:01:05.000            241.885               31.252794                 0.0000
29 Aug 2023 16:01:10.000            241.885               31.252794                 0.0000
29 Aug 2023 16:01:15.000            241.885               31.252794                 0.0000
29 Aug 2023 16:01:20.000            241.885               31.252794                 0.0000
29 Aug 2023 16:01:25.000            241.885               31.252794                 0.0000
29 Aug 2023 16:01:30.000            241.885               31.252794                 0.0000
29 Aug 2023 16:01:35.000            241.885               31.252794                 0.0000
29 Aug 2023 16:01:40.000            241.885               31.252794                 0.0000
29 Aug 2023 16:01:45.000            241.885               31.252794                 0.0000
29 Aug 2023 16:01:50.000            241.885               31.252794                 0.0000
29 Aug 2023 16:01:55.000            241.885               31.252794                 0.0000
29 Aug 2023 16:02:00.000            241.885               31.252794                 0.0000
29 Aug 2023 16:02:05.000            241.885               31.252794                 0.0000
29 Aug 2023 16:02:10.000            241.885               31.252795                 0.0000
29 Aug 2023 16:02:15.000            241.885               31.252795                 0.0000
29 Aug 2023 16:02:20.000            241.885               31.252795                 0.0000
29 Aug 2023 16:02:25.000            241.885               31.252795                 0.0000
29 Aug 2023 16:02:30.000            241.885               31.252795                 0.0000
29 Aug 2023 16:02:35.000            241.885               31.252795                 0.0000
29 Aug 2023 16:02:40.000            241.885               31.252796                 0.0000
29 Aug 2023 16:02:45.000            241.885               31.252796                 0.0000
29 Aug 2023 16:02:50.000            241.885               31.252796                 0.0000
29 Aug 2023 16:02:55.000            241.885               31.252796                 0.0000
29 Aug 2023 16:03:00.000            241.885               31.252797                 0.0000
29 Aug 2023 16:03:05.000            241.885               31.252797                 0.0000
29 Aug 2023 16:03:10.000            241.885               31.252797                 0.0000
29 Aug 2023 16:03:15.000            241.885               31.252798                 0.0000
29 Aug 2023 16:03:20.000            241.885               31.252798                 0.0000
29 Aug 2023 16:03:25.000            241.885               31.252798                 0.0000
29 Aug 2023 16:03:30.000            241.885               31.252799                 0.0000
29 Aug 2023 16:03:35.000            241.885               31.252799                 0.0000
29 Aug 2023 16:03:40.000            241.885               31.252799                 0.0000
29 Aug 2023 16:03:45.000            241.885               31.252800                 0.0000
29 Aug 2023 16:03:50.000            241.885               31.252800                 0.0000
29 Aug 2023 16:03:55.000            241.885               31.252801                 0.0000
