All Solar Panel Groups
----------------------

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
26 Jun 2023 16:00:00.000        5.440           1.000000
26 Jun 2023 16:00:05.000        5.493           1.000000
26 Jun 2023 16:00:10.000        5.493           1.000000
26 Jun 2023 16:00:15.000        5.282           1.000000
26 Jun 2023 16:00:20.000        5.440           1.000000
26 Jun 2023 16:00:25.000        5.387           1.000000
26 Jun 2023 16:00:30.000        5.282           1.000000
26 Jun 2023 16:00:35.000        5.229           1.000000
26 Jun 2023 16:00:40.000        5.229           1.000000
26 Jun 2023 16:00:45.000        5.282           1.000000
26 Jun 2023 16:00:50.000        5.229           1.000000
26 Jun 2023 16:00:55.000        5.176           1.000000
26 Jun 2023 16:01:00.000        5.176           1.000000
26 Jun 2023 16:01:05.000        5.176           1.000000
26 Jun 2023 16:01:10.000        5.071           1.000000
26 Jun 2023 16:01:15.000        5.123           1.000000
26 Jun 2023 16:01:20.000        5.071           1.000000
26 Jun 2023 16:01:25.000        5.123           1.000000
26 Jun 2023 16:01:30.000        5.176           1.000000
26 Jun 2023 16:01:35.000        5.282           1.000000
26 Jun 2023 16:01:40.000        5.387           1.000000
26 Jun 2023 16:01:45.000        5.387           1.000000
26 Jun 2023 16:01:50.000        5.335           1.000000
26 Jun 2023 16:01:55.000        5.387           1.000000
26 Jun 2023 16:02:00.000        5.440           1.000000
26 Jun 2023 16:02:05.000        5.493           1.000000
26 Jun 2023 16:02:10.000        5.493           1.000000
26 Jun 2023 16:02:15.000        5.440           1.000000
26 Jun 2023 16:02:20.000        5.493           1.000000
26 Jun 2023 16:02:25.000        5.546           1.000000
26 Jun 2023 16:02:30.000        5.546           1.000000
26 Jun 2023 16:02:35.000        5.652           1.000000
26 Jun 2023 16:02:40.000        5.757           1.000000
26 Jun 2023 16:02:45.000        5.757           1.000000
26 Jun 2023 16:02:50.000        5.810           1.000000
26 Jun 2023 16:02:55.000        5.916           1.000000
26 Jun 2023 16:03:00.000        5.863           1.000000
26 Jun 2023 16:03:05.000        5.916           1.000000
26 Jun 2023 16:03:10.000        6.074           1.000000
26 Jun 2023 16:03:15.000        5.916           1.000000
26 Jun 2023 16:03:20.000        5.916           1.000000
26 Jun 2023 16:03:25.000        6.021           1.000000
26 Jun 2023 16:03:30.000        6.233           1.000000
26 Jun 2023 16:03:35.000        6.233           1.000000
26 Jun 2023 16:03:40.000        6.233           1.000000
26 Jun 2023 16:03:45.000        6.233           1.000000
26 Jun 2023 16:03:50.000        6.285           1.000000
26 Jun 2023 16:03:55.000        6.338           1.000000
26 Jun 2023 16:04:00.000        6.233           1.000000
26 Jun 2023 16:04:05.000        6.180           1.000000
26 Jun 2023 16:04:10.000        6.233           1.000000
26 Jun 2023 16:04:15.000        6.338           1.000000
26 Jun 2023 16:04:20.000        6.550           1.000000
26 Jun 2023 16:04:25.000        6.550           1.000000
26 Jun 2023 16:04:30.000        6.602           1.000000
26 Jun 2023 16:04:35.000        6.655           1.000000
26 Jun 2023 16:04:40.000        6.655           1.000000
26 Jun 2023 16:04:45.000        6.602           1.000000
26 Jun 2023 16:04:50.000        6.602           1.000000
26 Jun 2023 16:04:55.000        6.602           1.000000
26 Jun 2023 16:05:00.000        6.814           1.000000
26 Jun 2023 16:05:05.000        6.708           1.000000
26 Jun 2023 16:05:10.000        6.708           1.000000
26 Jun 2023 16:05:15.000        6.708           1.000000
26 Jun 2023 16:05:20.000        6.550           1.000000
26 Jun 2023 16:05:25.000        6.867           1.000000
26 Jun 2023 16:05:30.000        7.025           1.000000
26 Jun 2023 16:05:35.000        7.025           1.000000
26 Jun 2023 16:05:40.000        7.289           1.000000
26 Jun 2023 16:05:45.000        7.289           1.000000
26 Jun 2023 16:05:50.000        7.131           1.000000
26 Jun 2023 16:05:55.000        7.183           1.000000
26 Jun 2023 16:06:00.000        7.183           1.000000
26 Jun 2023 16:06:05.000        7.131           1.000000
26 Jun 2023 16:06:10.000        7.025           1.000000
26 Jun 2023 16:06:15.000        7.078           1.000000
26 Jun 2023 16:06:20.000        7.025           1.000000
26 Jun 2023 16:06:25.000        7.183           1.000000
26 Jun 2023 16:06:30.000        7.395           1.000000
26 Jun 2023 16:06:35.000        7.500           1.000000
26 Jun 2023 16:06:40.000        7.712           1.000000
26 Jun 2023 16:06:45.000        7.712           1.000000
26 Jun 2023 16:06:50.000        7.817           1.000000
26 Jun 2023 16:06:55.000        7.817           1.000000
26 Jun 2023 16:07:00.000        7.659           1.000000
26 Jun 2023 16:07:05.000        7.553           1.000000
26 Jun 2023 16:07:10.000        7.659           1.000000
26 Jun 2023 16:07:15.000        7.606           1.000000
26 Jun 2023 16:07:20.000        7.606           1.000000
26 Jun 2023 16:07:25.000        7.659           1.000000
26 Jun 2023 16:07:30.000        7.659           1.000000
26 Jun 2023 16:07:35.000        7.553           1.000000
26 Jun 2023 16:07:40.000        7.765           1.000000
26 Jun 2023 16:07:45.000        7.553           1.000000
26 Jun 2023 16:07:50.000        7.712           1.000000
26 Jun 2023 16:07:55.000        7.923           1.000000
26 Jun 2023 16:08:00.000        8.029           1.000000
26 Jun 2023 16:08:05.000        7.976           1.000000
26 Jun 2023 16:08:10.000        7.976           1.000000
26 Jun 2023 16:08:15.000        7.976           1.000000
26 Jun 2023 16:08:20.000        8.081           1.000000
26 Jun 2023 16:08:25.000        8.029           1.000000
26 Jun 2023 16:08:30.000        7.923           1.000000
26 Jun 2023 16:08:35.000        8.081           1.000000
26 Jun 2023 16:08:40.000        8.081           1.000000
26 Jun 2023 16:08:45.000        8.029           1.000000
26 Jun 2023 16:08:50.000        8.134           1.000000
26 Jun 2023 16:08:55.000        8.398           1.000000
26 Jun 2023 16:09:00.000        8.346           1.000000
26 Jun 2023 16:09:05.000        8.557           1.000000
26 Jun 2023 16:09:10.000        8.398           1.000000
26 Jun 2023 16:09:15.000        8.293           1.000000
26 Jun 2023 16:09:20.000        8.240           1.000000
26 Jun 2023 16:09:25.000        8.240           1.000000
26 Jun 2023 16:09:30.000        8.293           1.000000
26 Jun 2023 16:09:35.000        8.187           1.000000
26 Jun 2023 16:09:40.000        8.346           1.000000
26 Jun 2023 16:09:45.000        8.187           1.000000
26 Jun 2023 16:09:50.000        8.240           1.000000
26 Jun 2023 16:09:55.000        8.398           1.000000
26 Jun 2023 16:10:00.000        8.293           1.000000
26 Jun 2023 16:10:05.000        8.557           1.000000
26 Jun 2023 16:10:10.000        8.663           1.000000
26 Jun 2023 16:10:15.000        8.610           1.000000
26 Jun 2023 16:10:20.000        8.504           1.000000
26 Jun 2023 16:10:25.000        8.504           1.000000
26 Jun 2023 16:10:30.000        8.557           1.000000
26 Jun 2023 16:10:35.000        8.504           1.000000
26 Jun 2023 16:10:40.000        8.451           1.000000
26 Jun 2023 16:10:45.000        8.451           1.000000
26 Jun 2023 16:10:50.000        8.504           1.000000
26 Jun 2023 16:10:55.000        8.504           1.000000
26 Jun 2023 16:11:00.000        8.663           1.000000
26 Jun 2023 16:11:05.000        8.768           1.000000
26 Jun 2023 16:11:10.000        8.874           1.000000
26 Jun 2023 16:11:15.000        8.927           1.000000
